Accession	Origin	status
AKME_FUTTER	1	0
C.P.I.28369	1	3
CERTA	1	0
PROSKOVCUV_HANACKY|PI321823	1	0
KUPLJENIK7	1	0
HATVANI445|PI327617	1	0
WELGEVALLEN65-52-2	1	1
WELGEVALLEN65-55-3	1	1
WELGEVALLEN60-1-19	1	1
WELGEVALLEN62-13-173	1	1
DIVA	1	0
ODE	1	0
HANKKIJA673	1	0
ARAMIR|PI399482	1	0
WELGEVALLEN65-36-5	1	1
WELGEVALLEN60-3-88A	1	1
WELGEVALLEN60-21-71A	1	1
WELGEVALLEN62-13-86	1	1
WELGEVALLEN62-2-14-1	1	1
WELGEVALLEN65-56-21	1	1
MCU3674	1	3
MCU3559	1	3
MCU3523	1	3
MCU3538	1	3
MCU3474	1	3
MCU3485	1	3
MCU3886	1	3
CERNIGOVSKIJ7	1	0
N40	1	2
N50	1	2
IV/121	1	2
IV/138	1	2
VARUNDA	1	0
AKYUREK32	1	1
AZAMAT	1	0
IV/188	1	2
PI601065	0	0
TX01D292	0	1
ND16680	0	1
CIHO14054	1	2
CIHO14053	1	2
PI184103	1	2
PI94806	1	2
PI94801	1	2
K710	1	2
PI220659	1	2
PI268255	1	2
PI270618	1	2
PI270623	1	2
PI270666	1	2
PI270683	1	2
PI270716	1	2
I25	1	3
SARLIS	1	0
PI117347	1	2
PI94919	1	2
PI95189	1	2
PI95212	1	2
Chervonec	1	0
